#100 Myr,1 nbar,,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,2.56,2.1,2.73,,,,,
2,1.78,1.95,2.25,2.6,3.19,4.83,7.84,
3,1.85,1.98,2.21,2.47,2.88,3.92,5.51,8.59
4,1.92,2.02,2.22,2.45,2.8,3.62,4.81,6.98
5,1.98,2.08,2.26,2.47,2.78,3.49,4.49,6.25
6,2.04,2.13,2.3,2.49,2.78,3.44,4.32,5.85
8,2.14,2.22,2.38,2.56,2.82,3.4,4.16,5.46
10,2.22,2.3,2.45,2.62,2.87,3.4,4.1,5.28
13,2.34,2.41,2.56,2.72,2.95,3.44,4.09,5.17
16,2.43,2.51,2.65,2.8,3.02,3.5,4.11,5.15
20,2.54,2.61,2.75,2.91,3.12,3.58,4.17,5.17
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,2.14,2.38,2.84,,,,,
3,2.08,2.24,2.55,2.9,3.48,5.07,,
4,2.1,2.23,2.47,2.75,3.19,4.28,5.98,9.33
5,2.13,2.24,2.45,2.69,3.07,3.96,5.24,7.59
6,2.16,2.27,2.46,2.68,3.02,3.79,4.86,6.76
8,2.24,2.33,2.5,2.69,2.99,3.64,4.5,6
10,2.31,2.39,2.55,2.73,3,3.58,4.36,5.66
13,2.4,2.48,2.63,2.8,3.05,3.58,4.27,5.44
16,2.49,2.56,2.71,2.87,3.1,3.61,4.26,5.35
20,2.59,2.66,2.8,2.96,3.19,3.67,4.28,5.32
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,2.67,,,,,,,
4,2.5,2.69,3.05,3.48,4.21,,,
5,2.45,2.6,2.89,3.23,3.78,5.16,,
6,2.43,2.56,2.81,3.1,3.56,4.66,6.29,
8,2.44,2.55,2.76,3,3.37,4.2,5.35,7.39
10,2.48,2.58,2.77,2.98,3.3,4.01,4.96,6.6
13,2.54,2.63,2.8,3,3.28,3.89,4.71,6.08
16,2.61,2.69,2.85,3.04,3.3,3.86,4.6,5.85
20,2.69,2.77,2.93,3.1,3.34,3.87,4.56,5.71
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,3.23,,,,,,,
8,3.01,3.19,3.55,4,,,,
10,2.92,3.07,3.37,3.72,4.28,5.65,,
13,2.89,3.01,3.26,3.54,3.98,5,6.51,
16,2.9,3.01,3.22,3.48,3.85,4.72,5.96,8.21
20,3.45,3.03,3.23,3.45,3.79,4.54,5.6,7.47