#100 Myr,RCB,flux 1,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1.17,1.31,,,,,,
2,1.44,1.54,1.75,1.99,2.34,,,
3,1.59,1.69,1.9,2.12,2.46,3.24,4.31,
4,1.71,1.82,2.01,2.22,2.55,3.3,4.32,6.11
5,1.81,1.92,2.09,2.3,2.62,3.34,4.32,6.01
6,1.89,1.99,2.17,2.37,2.68,3.38,4.32,5.91
8,2.03,2.12,2.29,2.49,2.79,3.45,4.33,5.78
10,2.15,2.23,2.39,2.59,2.88,3.52,4.34,5.71
13,2.27,2.36,2.53,2.72,3,3.61,4.39,5.67
16,2.39,2.47,2.64,2.82,3.1,3.69,4.45,5.67
20,2.51,2.6,2.76,2.95,3.22,3.79,4.5,5.71
#,,flux 10,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,1.4,1.5,1.7,,,,,
3,1.56,1.66,1.87,2.08,2.4,,,
4,1.67,1.79,1.98,2.18,2.5,3.22,,
5,1.78,1.89,2.06,2.27,2.58,3.28,4.23,
6,1.87,1.97,2.14,2.34,2.65,3.33,4.24,5.79
8,2.01,2.1,2.27,2.46,2.76,3.41,4.27,5.71
10,2.12,2.2,2.37,2.56,2.85,3.48,4.3,5.65
13,2.25,2.33,2.5,2.69,2.97,3.57,4.35,5.63
16,2.36,2.44,2.61,2.79,3.07,3.65,4.4,5.64
20,2.48,2.57,2.73,2.91,3.18,3.75,4.48,5.69
#,,flux 100,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,1.53,,,,,,,
4,1.66,1.77,1.95,,,,,
5,1.76,1.87,2.05,2.25,,,,
6,1.86,1.95,2.12,2.33,2.63,,,
8,2,2.08,2.26,2.45,2.75,3.41,4.26,
10,2.11,2.19,2.36,2.56,2.85,3.48,4.31,5.69
13,2.24,2.33,2.49,2.69,2.97,3.58,4.37,5.67
16,2.35,2.44,2.6,2.79,3.07,3.67,4.43,5.69
20,2.48,2.56,2.73,2.91,3.19,3.77,4.52,5.75
#,,flux 1000,,,,,,
#,0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,1.84,,,,,,,
8,1.98,2.08,2.27,,,,,
10,2.1,2.2,2.38,2.59,2.91,,,
13,2.24,2.33,2.52,2.73,3.03,3.7,,
16,2.35,2.45,2.63,2.84,3.14,3.79,4.64,
20,2.48,2.58,2.76,2.96,3.26,3.9,4.72,6.09